IMAGE #,SPEAKER 1,SPEAKER 2,SPEAKER 1,SPEAKER 2,SPEAKER 1
11722,Umwanakashi naikala pa cipuna icapangwa panse.,Kunuma yakwe kuli amacinga ayengi ayeminine.,Iyi incende epo abengi besa mukusha ama cinga ilyo baleya mukucita ifyalekanalekana.,"Bushe ukusha incinga muli iyi incende, teti wasanga nabakwibila?",Abengi balasha nabakoma amacinga yabo. Elyo nalimo paliba abalonda.
11723,Umwaume natolosha incinga yakwe mu mwela iyo alecofa mu mpanga.,Uyu ni umo uwamuli balya abacimfyanya ukucofa amacinga mu mpanga.,Nafwala icakumucingilila ku mutwe nga cakuti aliponene pa ncinga yakwe.,Elyo ali mukati ka mpanga umufulile ifimuti na utufyuulu utunono.,Nalimo talecimfyanya na abanankwe lelo ele fye mukukopwa ifkope.
11724,Abaume babili ababuuta inkanda na imbwa shibili bali ku lulamba lwa mumana.,Imbwa shilemoneka kwati nashisansamuka sana ukwisa mukwangala kuli iyi incende.,Abene ba mbwa nabakwata ifyakukalililako imbwa ilyo baleenda nasho.,Imo pali ishi imbwa shibili naikwata akamupila akakwangasha mukanwa.,"Umumana uyu, untu wapabuka sana. Elyo taukwete na amabimbi ayakalamba."
11725,Abantu batatu abalecimfyanya ukucofa ama cinga bali pa macinga yabo.,Mumbali wa musebo muli abantu bambi abeshile mukubatamba ifyo balecimfyanya.,Aba abantu balemoneka ukuti nabaipelesha sana ukuti becimfishiwa lelo ebo bacimfye abanabo.,"Ukomonafye ifyo incinga shilemoneka, baleensha ulubilo sana.",Nalimo nabapalama ku mpela yakucimfyanya kwabo elyo bali mukupwisha.
11726,Ibumba ilyabaice naliminina panse mumbali ya musebo.,Umo umwana alemoneka kwati nabesa mukumusenda pa citukutuku.,Ili lilemoneka kwati libumba ilya ba kasukulu abainuka ku masambililo.,Naumumona umo umwana umukashana uwiminine eka?,"Alemoneka kwati uku eminine pali ifyo baleshitishako, nalimo efyo alefwaya ukushita."
11727,Umwaume na umwanakashi bali mumuputule wa mu ng'anda.,Bushe aba abantu finshi balecita muli uyu muputule?,"Umwaume aleitulula ubwalwa mu nkomaki, elyo umukashana alelolekesha ifyo umwaume alecita.",Lubali kuli ibotolo umulemoneka kwati muba ifyakunwa ifishikola.,"Ilingi line efyo basansha na ubu ubwalwa pantu balikalipa icakuti nga wabunwa bweka bweka, kuti bwakoca na pa mukoshi."
11728,Abana bane nabekala panshi mwisama lya fimuti.,Aba abana nabafwala ifyakufwala ifyalamba sana.,Balemoneka nga abana abafuma ku ndupwa ishacula mu fyalo ifishakwaisha ifyuma.,"Mu ncende shimo, abantu balicuula icine cine icakuti na sopo iyakuwashisha ifyakufwala ilabulila kumo.",Bushe sopo kuti yafilwa ukubula ku bantu abaleshupikwa na ukukwatafye ifyakuti balye?
11729,Kemba wa nyimo naiminina pa cakulandilapo naikata na insale yakwe muminwe.,Finshi ifilecitika pali iyi incende?,Uyu umuntu afwile nakolonganika ibumba ilishile mukumumfwa ifyo aleimba na ifyo alelisha.,Akakulandilapo apo eminine ilingi kabonfeshiwa mukuti ishiwilya muntu lyumfwike apatali. Kanshi kuti caba ifyo fine.,"Na ifyo ekete insale ine iyi, alemoneka kwati ni kanye kanye."
11730,Umwana umukashana alekulula icola cakwe panshi.,Ici icola nabalengapo icilubi icifwile ecilubi atemwisha sana.,Alemoneka nga uufumine mu kwikila mu ndeke nangu muli saca.,"Ukumona abali ku ntanshi yakwe nabo balekulula icola cabo, kuti camoneka ukuti bafuma pa bulendo.","Ifi uyu alemoneka umushinku, nalimo aba abali kuntanshi yakwe ebo endele nabo."
11731,Umukashana uwabuta inkanda naikala panshi mumbali yamusebo.,Uyu umukashana alemoneka kwati nanaka sana nangu amatontonkanyo nayafulisha.,"Tekumonafye ifyo ekele, aikaninka na mu kasube libe pali icintelelwe mupepi!",Limbi nakutalala eco asalilapo ukuti onteko akasuba ukucila ukwikala mu cintelelwe.,"Kwena nangu kasuba alefwaya ukonta, takwabako nakumbi uko engontela ukucila pa musebo?"
11732,Abana batatu bali mupepi na itebulo.,"Bushe aba babili, cinshi bafwalile ifyakufwala ifyaibela?",Nalimo ni nshita iyakusefyapo fimo iilefwaya ukuti bafwale ifiibeleleko kufyo bafwala cilabushiku.,"Nomba uyu umo umwana uuli mupepi nabo, ena ninshi tafwaya ukufwalako ifi fine ifyakufwala?","Limbi tasefyako ifyo balesefya, nangu limbi tatemwafye ifyakufwala ifya uyu musango."
11733,Abana abalumendo babili nabanina ku fimuti ifyo bashimba mupepi na amayanda.,Panshi palemoneka amenshi ayengi kwati napabunda.,Ifi filacitika mu fyalo fimo fimo imfula nga yaponesha icakuti calatwala na ku busanso.,Aya amayanda jwena nu mukubunda yaleya elyo tapali na apakwiminina panshi.,Amayanda yakaena nayo tayapangwa na ifintu ifyakosa nga amatafwali. Bapangilafye amalata.
11734,Umwana uko umwaume naiminina aleteya ubwangalo ubwakuma akamupila akanono na akamoneka kwati kamuti.,Ubu ubwangalo bwaliseka sana ku basungu na ku bantu bambi abakwatako indalama.,"Bamo balateya ukuti bengakwatako inshita iyakwangala na abanabo, bambi nabo bateya ubu ubwangala mukucimfyanya na bamo na ukusenda ifikombe.",Uyu umwana nalimo balemukansha ukuti lilya akula akeshibishe ifyakwangala ubu ubwangalo.,Kuti bwamwafwa nga asala ukuya mukucimfyanya na bambi ukuti engemya ifikombe ifingi.
11735,Abana bane na banamayo bamo bali mumbali yamumana.,Uyu umumana ulemoneka kwati wapita mukati ka musumba.,Muli ifikuulwa ifingi ifilemoneka mupepi na uyu umumana kumofya na umo upitile.,Aba abana nalimo beshile ukuti bengesa tamba uyu umumana na ba nyinabo.,"Umumana uyu, balibikako ifishimbi mumbali ifyakulanga abantu ukuti bapalamisha. Ici nimukuti peba nangu umo uwakuwilamo."
11736,Abaume babili ababuta inkanda bali mu bwato pamumana.,Uyu umumana wabafye mupepi na amayanda ayabantu ayalemoneka.,"Ehe, uyu ni umo pa misumba iyaikala mupepi sana na amenshi icakuti na imimana shipitafye mumusumba wine.","Ubu ubwato balipo, bunono ububomfeshiwa mukwenda bwangu sana pantu tabubomfya ifimuti pakoba.","Awe ubu bwena ubwato buboma kwati cimbayambaya iciliconse icibomfya amafuta, kulayoba fye ubwine."
11737,Umwaume umo naiminina panse pa ituuka ilyakupwa mumalangi ayabuuta na aya makumbi makumbi.,Muminwe naikata icimpompo icakuicingilila kumutwe nga uleenda pa citukutuku.,Alemoneka uwansansa sana uyu wine umuntu. Nampo ninshi atemenwe.,"Nalimo pali abo alelolela abamuletela insansa icine, nangu pali ico ashitile mu ma tuuka yene aya icamusansamusha sana.","Amalangi ya aya amatuuka yalemoneka ayansansa sana icakuti nangu wacumfwa ubulanda, ukuyaloleshafye, na kumukoshi kwabuuta."
11738,Umwana umwanakasha aleshelela pa lupili ulukupilwe mu mfula iya buuta.,Nafwala bwino bwino ifyakufwala na ifyakumakasa ifyakumucingilila. Afwalile kumo na icimpompo ku mutwe.,"Iyi incende kabili nga uleshelela elyo wapusa wapona, kuti waicena ububi kanshi cikankala ukuti waicingilila ilyo taulatampa.",Alemoneka kwati natemwa sana ukuba ukukwine uko ali na ukulashelela mu mfula iyabuuta.,Kwena kuti watemwa pantu ilingiline ifintu fya musango uyu filalenga umutima walatunta elyo na umulopa ukulaenda bwangu.
11739,Umulumendo uwabuuta inkanda aleangala na amenshi pa ng'anda.,"Bushe aya amenshi, yali mumumana uwakupangwa ku bantu nagu yali mwi?",Yabikilwe mu fintu ifyo bashitisha mumatuuka ifyo mwingesushamo amenshi na ukusambamo kwati ni mumumana.,"Kanshi nga namukwata ifi, takuli na ukwimba umumana iyo. Kulabikamofye amenshi ilyo mwafwaya ukusamba.","Ehe, kuti fye nga mwapwisha, mwafumyamo amenshi, mwacipeta mwacibika na lubali. Lilya mwaisa fwaya nakabili, mwaya cisokolola."
11740,Abaume babili ababuta inkanda nabekala pa itebulo ilyakulilapo.,Balemoneka kwati elyo bapwishafye ukulya ifyakulya ifingi sana.,Bulemoneka kwati bushiku ubu bakumene.,Limbi fibusa abalefwaya ukukumana na ukukwatako ifyakulya capamo.,Iyi ninshila iisuma iyakukumana na ukukoseshamo icibusa pa bantu babili.
11741,Umwaume na umwanakashi ababuuta inkanda nabekala balenwa amakabe.,Iyi incende balashitishamo amakabe kuli onse uulefwaya ukushita.,"Uyu umwanakashi alemoneka uwasansamuka sana, nalimo pali ifyo atemenwe.",Elyo kumbali yabo kulemoneka umuntu naumbi uwikele nabo.,Ndemona uyu ni umo pa bantu abeshile mukushita amakabe muli ili ituuka.
11742,Namayo umo aleenda alepita abashitisha amakwebo ayalekana lekana pa mushika.,"Apa bashitishapo amakwebo ayalekana lekana, elyo abangwapo ilingi ni ba namayo.","Nabatantika ifingi ifyo baleshitisha, sana sana ifyakulya.",Ilingi line abantu abalefwaya ukushita ifyakulya ifinono ifyakulya ifyapanshikufye ishinono.,Abantu abengi abashakwata indalama ishingi balabomfya iyi imishika ukushitako ifyo bengakwanisha cilabushiku.
11743,Abanakashi babili nabafwala ifyakufwala ifya mutundu wabo.,Bushe aba abanakashi bafuma ku mutundu nshi?,"Balemoneka nga balya abasangilwe ukwikala ku calo ca ""America"" mu nshiku ishakale sana.","Ninshi aba ebantu abatampile ""United Stated of America"" Basangila ebaikala muli cilya calo ilyo baileko?",Nifyo fine. Eco bamonekela abapalana na abasangwa mu fyalo fimbi ifyaba mupepo pamo nga Columbia na Mexico.
11744,Umwanakashi umo nasunsumana alesuka imbale mu menshi  ayali mu mbali yafikuulwa.,Bushe aya amenshi ya mumumana nangu yaikalilafye na imfula?,Aya amenshi yalemoneka kwati yamumumana. Bushe ni mfula yamusangonshi iingaloka pakuti yekalile ifi.,Limo muli ifi ifyalo mulaba imfula iilokesha ichakuti amenshi yaikalila kwati mumana.,Ifikuulwa ifili mupepi filemoneka ifyapwa elyo ifyaonaika. Tailemoneka nga incende iisuma sana.
11745,Ibumba ilya baume abafita inkanda naliminina mu mwinshi wa ituuka.,Bushe lituuka lya musangonshi ili?,Lilemoneka nga ituuka umo bashitisha ubwalwa ubwalekana lekana.,Ifyo ifya bwalwa efyo abantu abengi batemwa sana.,Tekumonafye aba bashitata ifyo bakwete insansa!
11746,Ifitukutuku nafiminina panse ya ituuka mupepi na icimbayambaya.,Bushe nibaani abene ba ifi fitukutuku?,"Filemoneka ifyapalana fyonse, nalimo kuti fyaba ifyabakapokola.",Bushe nga fyaba kapokola nga tafikwete ifyakulanga ati fyabakapokola ifyalembwapo?,Kwena nga nafikwata. Limbi kuti fyaba ifya mabumba yalya ayensha ifitukutuku pamo.
11747,Bakateya wa mupila wa ku minwe nakumakasa bali pa cibansa baleteya uyu umupila.,Bushe ninshi aba babili abafwele ifyabuta baleikatanina na aba bambi abafwele ifyafita?,Aba balecilinganya abalefwaya ukwisa poka uyu umupila kumunabo uo bali nao mwibumba lyabo.,Uyu umo uushele pakati alemoneka kwati ali pakuposa umupila.,Nalimo aleposela umbi umuntu uuli mwibumba lyabo.
11748,Banamayo babili ababuta inkanda mabeminina mupepi na imbwa shibili.,Umo namayo naikata imbeketi muminwe elyo palemoneka na ingolofwani mupepi.,Bushe finshi ificitikila kuli iyi incende?,"Akatalamukila, kulemoneka inkuni isho ba kontaula. Nalimo lubali lwa ncende apo bekala ababene abantu babili.",Awe ninshi incende iyi ikulu. Icakuti uku kubefye ni ku musolo.
11749,Umwaume uno uwabuta inkanda naimya umwana umulumendo uwabuta inkanda mumulu.,"Iyi incende baliko, ilemoneka nga incende ukuya mukwangalila abana.",Kulemoneka ifyakwangalapo na ifyakupeelukako ifyapusana pusana.,Umwana alemoneka kwati natemwa sana ukumwimya pakuti afike pa fishimbi eketeko.,Nangu aciba pa kupona nomba bamupususha ecalenga ukuti asekelele ifi.
11750,Abaume babili nabekala pa itebulo ilyakukumaninapo ku nchito.,Uyu umuputule ni ulya basunga ukuti ekakulabela ukukumana kwa bantu muli ako akampani.,"Iyi incende ilyo abantu bakumaninamo, mulaba ifingi ificitika ifyakusesha umulimo wa kampani ukuti baleya pantanshi.",Ishi shine incende emo kuba na ukukumanina na abantu bambi abafumine ku twampani tumbi nga cakuti mulefwaya ukubomba nabo.,Nababikila limo na utwakusheta na ukunwamo ilyo balekumana muli iyi incende.
11751,Imbwa iya masako ayengi elyo kabili ayatali ilebutuka panse.,"Uku limbi eko bailea pakuti yaisa pwishako amaka, nayo yaangalako.","Utumuti utuli mupepi yulemoneka utwauma, ninshi iyi kuti yaba ni nshita iyalusuba.","Nayo imfula ninshi kale sana yakalila, elyo akwaba na ukutapilishamo.",Bushe kuti wakwanisha fyonse mpaka nautapilishamo? Sana sana impanga nga naikula.
11752,Abalumendi babili ababuta inkanda nabekala balelembaula pa musebo.,Bushe uyu musebo uuya pa ng'anda yabo nangu untu bonse abantu babomfya?,"Ndesubila uyu uya pa ng'anda yabo pantu kwena nga untu babomfya bonse, kuti bakupunka.","Aba abalumendo balemoneka abatubilisha sana elyo tabafwele na insapato, bafwile bali mupepi na apo bekala.",Nomba abaice nabo limo teti wishibe pantu bafula insapato na ilyo bele ukutali.
11753,Umwana umwanakashi na namayo baleenda mupepi na apapita ama shitima.,Apo balepita pali icipuna apekele umuntu umo. Bushe kuti aba alelolela ishitima?,Kuti aba alelolela ishitima nangu umuntu uulefuma mwi shitima.,"Umwana alemoneka kwati pali fimo ifyo alebutukila, elyo namayo alemukonkamo munuma.","Abana ico amaka yafulisha, kuti limo bakukulwila na uko taulefwaya ukuya."
11754,Umwaume uwabuta inkanda aleenda mumusebo mumbali yacikuulwa icakashika.,Ici icikuulwa nacikwata icilemoneka kwati ni ndeke icabikwa kumbali.,"Elyo iyi indeke ipalile shilya babomfwa ukwilako mu muulu nga balepitilila amakumbi, te shilya ishakupupukilamo abantu fye.",Nalimo abene bacikuulwa bali ni bamo abalepupuka na ishi shine indeke ukuya mukubelenga ifilecitika mumwela.,Nangu kuti caba icikuulwa ica mwana wabalepupuka na ishi indeke.
11755,Namayo umo uwafita inkanda naikala panshi alelenga ifintu ifyalekana lekana.,Uyu namayo alemoneka nga uwafuma ku calo ica ku India nangu ifyalo ifyapalamako.,"Bushe ifi ifintu alelenga panshi, fyanshi?",Limbi kuti fyaba fintu ifileimininako ifya mapepo ifyalekana lekana.,Limbi filabafwamuli iyi inshila pantu apa panshi balengele tapakokola ninshi pafutika.
11756,Abaume babili abafita inkanda abaikupile mufilemoneka nga ifikolopo baleciluka umusebo.,Bushe cinshi calenga aba abaume ukufwala ifi bafwele?,Nalimo pali kumo uko baleya mukulangapo fimo nangu pali ifyo balelanga.,Apa pancende bali epakucilukila umusebo kubaleenda pa makasa.,Iyi ine incende tailemoneka kwati kulepita ifimbayambaya ifingi pali iyi inshita. Nalimo eco baisalile ukwisa cita ifyo balecita.
11757,Abaume na abanakashi nabeminina mu mungoloshi mumbali ya cakucingilisha incende yafikuulwa.,"Umu muli ba namayo na ba shitata abalekanalekana, bushe ninshi beminine apa?",Balemoneka nga abantu abeminine balelolelapo fimo nangu umuntu umo.,Uyu shibantu uuli kuntanshi nakwata icakukopelako muminwe.,Bambi nabo nabekatilila ku tushimbi utupangile ici cine icakucingililako.
11758,Ibumba ilya bantu bali muncende umwakushita na ukunwina ubwalwa.,Abengi abali muli iyi incende nabafwala ifyakufwala ifilemoneka nga ifya mu ma ofeshi.,Ifwile ni ncende uko besa lilya bainuka ku macito yabo kukwisa mukwangalako panono/,"Aba abaume abalemoneka, baleshimika amalyashi na abanakashi.","Bambi umu mwine, balakumanishamo na abatemwikwa, batampa na ukwenda nabo."
11759,Imbwa shibili shilepepekan panse.,"Ishi imbwa shilemoneka kwati nashishibana, elyo uku kupepekana, ni mukucena fye.",Iyi imbwa iili kuntanshi yakwata amalangi aya mukuba mukuba elyo na ayabuuta.,"Elyo ilemoneka bwino sana, iya bumi ubusuma.",Abene abaishi imbwa baliposeshako amano mukushisunga bwino.
11760,Namayo uwabuuta inkanda naiminina alelolesha pali ka musange kakwe.,Insapato na fimbi ifyakufwala afwele filemoneka nga umuntu uwaciya aleenda mukuti abe na ubumi ubusuma.,Bushe umuntu uuleenda ifi kuti afwala icampepo? Ukupibafye kweka tekuti kukafye umubili?,"Nga cakuti nakutalalisha sana, icampepo kuti acifwala nangu cakuti aleya mukwenda muli iyi inshila.",Lelo kuti afwala ifi nangu cakuti acibafye pa ng'anda elyo aya ati asendepo utuntu tumo nangu umuntu na ukubwela bwangu bwangu ku ng'anda.
11761,Ibumba ilya bantu nalikolongana elyo umwana umwaume aleenda na akaputula keka keka.,Bonse abantu muli ili ibuumba bafwele ifyakufwala ifyo abengi bafwala nga baletuusha.,"Kwena na pa menso, balemoneka nga abaletuusha pantu tabalemoneka nga abalebutukilapo kumo.",Nalimo iyi ni ncende uko abantu abalekana lekana besa mukutusha.,Nomba incende iyakutushishako iilemoneka nga pati aka musebo?
11762,Abantu batatu balengala ku ncende iyakwangalilako mukati aka musumba.,Iyi incende bapangila ukuti abantu bengesa tusha na ukwangalako sana sana abaice.,"Eco babikilako na ukwakunina, ico abaice batemwa ifyakunina nina.",Kabili kuli na apakwikala icakuti baikalapo abantu baletuusha elyo balepupwa na umwela.,"Apa pene kwena kuti mwaikalapo nga cakuti namwisa na abaice baleangala, elyo mulebamona."
11763,Umwana uwabuuta inkanda nasendama mu cipuna mu cimbaya mbaya.,"Uyu umwana alemoneka uwanaka sana, elyo naikata na akakulya mu minwe.",Nalimo pali eko baciya na abafyashi bakwe eko anakila ifi.,Bushe mupando wamusangonshi uyu asendememo umwana?,Uyu mupando uo bapangila abana uwikala pa mipando ishaba kale mu fimbayambaya.
11764,Umwaume umushilikale uwabuuta inkanda alepuuta mu cinanda icapala ipenga.,Ici ni cimo pa finanda ifyo balisha ukupitila mu kuputamo umwela.,Kulaba amabumba ayapangwa ayabashilika abo ilingi line babomba umulimo uwakulisha ifi finanda.,"Aba bantu abakashiwa mu nshila isha bushilika, lelo balishiba na ukulisha ifi finanda.",Bamo kuti mwabasanga ilyo kuli ukulongana ebaletungulula na mukulisha inyimbo ishacishipa.
11765,Banamayo abalekana lekana baleenda mumusebo.,Bushe nipesa uyu umusebo upitile?,Upitile panse ya cikuulwa icikalamba icaibela.,"Nga aba ba namayo, nikwisa bafuma atemwa ni kwisa balolele?",Balemoneka nga abalolele mukulongana ukwa bantu ababombela capamo.
11766,Namayo umo ali pa mushika aleshitisha imisalu iyalekanalekana.,"Uyu namayo natantika imisalu iilemoneka kwati isabilwe lelo, elyo aleshitisha.",Pali imisalu na fimbi ifisabo ifyalekana lekana.,"Ifi ifisabo na iyi imisalu, efyo balanda ukuti umuntu afwile alelya pakuti aba uwa bumi ubusuma.",Afwile uyu namayo alakwata sana amakwebo pa nshita iyalinga.
11767,Umwaume na umwanakashi ababuta inkanda nabekala panse mumbali ya fikuulwa.,Uyu namayo alelisha insale elyo aleimba pa nshita imo ine.,Bushe ninshi uyu umwaume eo alelishisha na ukwimbila ekafye?,Limbi kuti fyaba fibusa nangu abatemwikwa elyo umo alelanga umubiye icitemwiko muli iyi inshila.,"Nangu ni balya abalisha ifilimba mumbali ya musebo, elyo uyu shibantu naiminina pakuti omfwikishe ifyo alelisha."
11768,Ibuumba ilya bana bali mucankwangalilamo icishingulusha abantu.,"Ifi ifintu nga tawakosa, kuti fyakulenga wailufyanishisha.",Kuli bamo cilaba ifyo fine pantu filaleta umwenso icakuti walaumfwa kwati uli pa kupona.,Bushe ninshi aba abana tabatina ukupona?,"Ukutina kuti batina, lelyo abapanga baliposeshako amano, elyo na mumibomfeshe, kano pali umukulu uulemona ifilecitika pa nshita shonse."
